x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2016,Escherichia coli,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1,24129,0.0,M5-020
2016,Escherichia coli,"Carbapenems, Folate pathway antagonists, Penicillins",1,24129,0.0,M3-023
2016,Escherichia coli,"Cephalosporins, Folate pathway antagonists, β-lactam combination agents",1,24129,0.0,M3-030
2017,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",3649,43875,8.32,M4-031
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",3461,43875,7.89,M5-011
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",2531,43875,5.77,M6-006
2017,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, Penicillins",1928,43875,4.39,M3-032
2017,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins",1756,43875,4.0,M4-017
2017,Escherichia coli,"Cephalosporins, Fluoroquinolones, Penicillins",1666,43875,3.8,M3-027
2017,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1383,43875,3.15,M5-021
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins",1346,43875,3.07,M4-012
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins",1321,43875,3.01,M4-014
2017,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, Penicillins",1207,43875,2.75,M3-013
2017,Escherichia coli,"Cephalosporins, Folate pathway antagonists, Penicillins",954,43875,2.17,M3-029
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",753,43875,1.72,M5-013
2017,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Penicillins",662,43875,1.51,M3-011
2017,Escherichia coli,"Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",662,43875,1.51,M4-033
