Source_Folder,Source_File,Bacteria_Name,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
All Data,escherichia_coli.csv,Escherichia Coli,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",XGBoost,0.9265,14.1832,XGBoost
All Data,escherichia_coli.csv,Escherichia Coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SARIMA,0.8897,4.5163,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",ARIMA,0.8462,4.3008,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",TES,1.0101,5.8222,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SES,0.8488,4.3164,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",XGBoost,1.1742,6.1883,ARIMA
All Data,escherichia_coli.csv,Escherichia Coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SARIMA,1.0143,9.7165,TES
All Data,escherichia_coli.csv,Escherichia Coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",ARIMA,1.1312,10.559,TES
All Data,escherichia_coli.csv,Escherichia Coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",TES,0.975,9.3834,TES
All Data,escherichia_coli.csv,Escherichia Coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SES,1.3106,12.7674,TES
All Data,escherichia_coli.csv,Escherichia Coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",XGBoost,1.0859,10.3383,TES
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SARIMA,3.5981,15.6263,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",ARIMA,4.6722,18.336,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",TES,5.2912,21.8995,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SES,4.325,16.9174,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",XGBoost,5.3944,23.5115,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SARIMA,0.9862,10.3505,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",ARIMA,0.9873,10.3602,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",TES,2.3142,25.931,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SES,0.9867,10.3546,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",XGBoost,1.3866,14.9688,SARIMA
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SARIMA,5.894,29.8928,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",ARIMA,5.4287,28.032,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",TES,3.6075,18.0998,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SES,5.416,27.9537,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",XGBoost,3.2211,15.7396,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SARIMA,2.097,30.1703,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",ARIMA,2.1003,31.0693,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",TES,2.0969,30.9923,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",SES,2.107,31.1676,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",XGBoost,1.1947,15.2242,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SARIMA,3.5308,23.8447,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",ARIMA,4.1172,28.7088,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",TES,4.8149,34.1948,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",SES,5.3606,38.3385,XGBoost
All Data,klebsiella_pneumoniae_.csv,Klebsiella Pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",XGBoost,2.3081,13.641,XGBoost
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas Aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",SARIMA,6.5502,10.7715,XGBoost
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas Aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",ARIMA,6.5364,10.7431,XGBoost
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas Aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",TES,5.7252,9.0543,XGBoost
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas Aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",SES,6.5653,10.8022,XGBoost
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas Aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",XGBoost,5.2814,8.3568,XGBoost
