organism_full,year,month,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Escherichia coli,2016,12,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",184,1342,13.71
Escherichia coli,2016,12,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",160,1342,11.92
Escherichia coli,2016,12,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",155,1342,11.55
Escherichia coli,2016,12,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,1342,8.94
Escherichia coli,2016,12,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",88,1342,6.56
Escherichia coli,2017,1,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",362,2719,13.31
Escherichia coli,2017,1,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",344,2719,12.65
Escherichia coli,2017,1,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",267,2719,9.82
Escherichia coli,2017,1,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",259,2719,9.53
Escherichia coli,2017,1,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",208,2719,7.65
Escherichia coli,2017,2,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",280,2192,12.77
Escherichia coli,2017,2,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",234,2192,10.68
Escherichia coli,2017,2,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",215,2192,9.81
Escherichia coli,2017,2,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",209,2192,9.53
Escherichia coli,2017,2,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",165,2192,7.53
Escherichia coli,2017,3,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",333,2561,13.0
Escherichia coli,2017,3,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",330,2561,12.89
Escherichia coli,2017,3,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",233,2561,9.1
Escherichia coli,2017,3,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",207,2561,8.08
Escherichia coli,2017,3,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",205,2561,8.0
Escherichia coli,2017,4,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",317,2349,13.5
Escherichia coli,2017,4,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",246,2349,10.47
Escherichia coli,2017,4,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",219,2349,9.32
Escherichia coli,2017,4,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",214,2349,9.11
Escherichia coli,2017,4,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",170,2349,7.24
Escherichia coli,2017,5,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",263,2406,10.93
Escherichia coli,2017,5,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",257,2406,10.68
Escherichia coli,2017,5,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",237,2406,9.85
Escherichia coli,2017,5,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",215,2406,8.94
Escherichia coli,2017,5,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",197,2406,8.19
Escherichia coli,2017,6,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",287,2246,12.78
Escherichia coli,2017,6,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",250,2246,11.13
Escherichia coli,2017,6,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",243,2246,10.82
