organism,antibiotic,result,total_count
Burkholderia pseudomallei,ceftriaxone,S,2193
Burkholderia pseudomallei,cefuroxime,I,6
Burkholderia pseudomallei,cefuroxime,R,153
Burkholderia pseudomallei,cefuroxime,S,6
Burkholderia pseudomallei,chloramphenicol,I,13
Burkholderia pseudomallei,chloramphenicol,R,1
Burkholderia pseudomallei,chloramphenicol,S,357
Burkholderia pseudomallei,ciprofloxacin,I,1131
Burkholderia pseudomallei,ciprofloxacin,R,1060
Burkholderia pseudomallei,ciprofloxacin,S,2801
Burkholderia pseudomallei,clindamycin,R,5
Burkholderia pseudomallei,clindamycin,S,2
Burkholderia pseudomallei,colistin,I,2
Burkholderia pseudomallei,colistin,R,3
Burkholderia pseudomallei,ertapenem,I,2
Burkholderia pseudomallei,ertapenem,R,35
Burkholderia pseudomallei,ertapenem,S,4
Burkholderia pseudomallei,erythromycin,R,1
Burkholderia pseudomallei,erythromycin,S,1
Burkholderia pseudomallei,fosfomycin,R,5
Burkholderia pseudomallei,gentamicin,I,68
Burkholderia pseudomallei,gentamicin,R,5102
Burkholderia pseudomallei,gentamicin,S,91
Burkholderia pseudomallei,imipenem,I,66
Burkholderia pseudomallei,imipenem,R,146
Burkholderia pseudomallei,imipenem,S,10348
Burkholderia pseudomallei,levofloxacin,I,966
Burkholderia pseudomallei,levofloxacin,R,334
Burkholderia pseudomallei,levofloxacin,S,2421
Burkholderia pseudomallei,meropenem,I,90
Burkholderia pseudomallei,meropenem,R,146
Burkholderia pseudomallei,meropenem,S,4988
Burkholderia pseudomallei,norfloxacin,I,5
Burkholderia pseudomallei,norfloxacin,R,3
Burkholderia pseudomallei,norfloxacin,S,30
Burkholderia pseudomallei,oxacillin,R,1
Burkholderia pseudomallei,oxacillin,S,1
Burkholderia pseudomallei,piperacillin/tazobactam,I,16
Burkholderia pseudomallei,piperacillin/tazobactam,R,371
Burkholderia pseudomallei,piperacillin/tazobactam,S,5326
Burkholderia pseudomallei,teicoplanin,S,2
Burkholderia pseudomallei,tetracycline,I,40
Burkholderia pseudomallei,tetracycline,R,66
Burkholderia pseudomallei,tetracycline,S,1077
Burkholderia pseudomallei,trimethoprim/sulfamethoxazole,I,23
Burkholderia pseudomallei,trimethoprim/sulfamethoxazole,R,374
Burkholderia pseudomallei,trimethoprim/sulfamethoxazole,S,9539
Burkholderia pseudomallei,vancomycin,R,1
Burkholderia pseudomallei,vancomycin,S,2
Citrobacter freundii,amikacin,I,1000
Citrobacter freundii,amikacin,R,363
