list_tested_classes,count_tested_classes,isolate_count
"Aminoglycosides, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",4,19
"Carbapenems, Cephalosporins, Lipopeptides, Penicillins",4,19
"Carbapenems, Cephalosporins, Penicillins, Phenicol",4,19
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides",4,18
"Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol",4,18
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides",4,17
"Aminoglycosides, Folate pathway antagonists, Penicillins, Phenicol",4,17
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins",4,17
"Fluoroquinolones, Lincosamides, Macrolides, Phenicol",4,17
"Folate pathway antagonists, Macrolides, Penicillins, Phenicol",4,17
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides",4,16
"Cephalosporins, Phenicol, Tetracycline, Tetracyclines",4,16
"Aminoglycosides, Fluoroquinolones, Lipoglycopeptides, Phenicol",4,15
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides",4,15
