Bacteria,Ward_Type,Drug_Name,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Klebsiella pneumoniae,in,cefuroxime,0.0026998650890555594,0.0,False
Klebsiella pneumoniae,in,ciprofloxacin,0.5916404140997295,0.41919609121640244,True
Klebsiella pneumoniae,in,ertapenem,0.7799509129667008,0.32270139139489507,True
Klebsiella pneumoniae,in,gentamicin,0.582772208849088,0.24342265769925375,True
Klebsiella pneumoniae,in,imipenem,0.5050047926730948,0.36902595122454085,True
Klebsiella pneumoniae,in,levofloxacin,0.5963199286549421,0.17147252467693264,True
Klebsiella pneumoniae,in,meropenem,0.6083220087060552,0.14683614092257047,True
Klebsiella pneumoniae,in,norfloxacin,0.7087404151001852,0.0,True
Klebsiella pneumoniae,in,piperacillin/tazobactam,0.47389797970673847,0.14164213769092826,True
Klebsiella pneumoniae,in,trimethoprim/sulfamethoxazole,0.7291036908919846,0.3930619314620557,True
Klebsiella pneumoniae,out,amikacin,0.22087232194430279,0.17754555348411982,False
Klebsiella pneumoniae,out,amoxicillin/clavulanic acid,0.4083692871129583,0.0769990192053247,True
Klebsiella pneumoniae,out,ampicillin,0.028384147056807488,0.16884286183586927,False
Klebsiella pneumoniae,out,ampicillin/sulbactam,-0.017006923445146552,0.22688173462959693,False
Klebsiella pneumoniae,out,cefepime,0.4453198048901917,0.3543201065180924,True
Klebsiella pneumoniae,out,ceftazidime,0.03441487807920316,0.2955302966558946,False
Klebsiella pneumoniae,out,ceftriaxone,0.18516320801765332,0.06406965425310462,False
Klebsiella pneumoniae,out,cefuroxime,0.06308961756567757,0.36101195277780584,True
Klebsiella pneumoniae,out,ciprofloxacin,0.13474409034671742,0.27610180661788253,False
Klebsiella pneumoniae,out,ertapenem,0.7305920972431823,0.22497580523649952,True
Klebsiella pneumoniae,out,gentamicin,0.27196230301408275,0.26968319421373765,False
Klebsiella pneumoniae,out,imipenem,0.44438018687389175,0.21450281663843473,True
Klebsiella pneumoniae,out,levofloxacin,0.4106599463590454,0.28272757499698675,True
Klebsiella pneumoniae,out,meropenem,0.45717196620659434,0.3562336987875032,True
Klebsiella pneumoniae,out,norfloxacin,0.6716011698506419,0.27905106507361577,True
Klebsiella pneumoniae,out,piperacillin/tazobactam,-0.07563873202932474,0.20489877942671497,False
Klebsiella pneumoniae,out,trimethoprim/sulfamethoxazole,0.41316531218177777,0.09371655812731505,True
Pseudomonas aeruginosa,icu,Sensitive/None,0.21087466183335174,0.0,False
Pseudomonas aeruginosa,icu,amikacin,0.04435411808416929,0.009814436142059901,False
Pseudomonas aeruginosa,icu,cefepime,0.33220709225539247,0.01775060070623191,False
