organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2019,1,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",100,1539,6.5
Escherichia coli,2019,2,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",166,1262,13.15
Escherichia coli,2019,2,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",153,1262,12.12
Escherichia coli,2019,2,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",108,1262,8.56
Escherichia coli,2019,2,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",102,1262,8.08
Escherichia coli,2019,2,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",85,1262,6.74
Escherichia coli,2019,3,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",192,1413,13.59
Escherichia coli,2019,3,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",164,1413,11.61
Escherichia coli,2019,3,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",113,1413,8.0
Escherichia coli,2019,3,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",111,1413,7.86
Escherichia coli,2019,3,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",84,1413,5.94
Escherichia coli,2019,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",171,1319,12.96
Escherichia coli,2019,4,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",162,1319,12.28
Escherichia coli,2019,4,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",122,1319,9.25
Escherichia coli,2019,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",107,1319,8.11
Escherichia coli,2019,4,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",68,1319,5.16
Escherichia coli,2019,5,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",179,1412,12.68
Escherichia coli,2019,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",151,1412,10.69
Escherichia coli,2019,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",122,1412,8.64
Escherichia coli,2019,5,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",114,1412,8.07
Escherichia coli,2019,5,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",87,1412,6.16
Escherichia coli,2019,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",146,1158,12.61
Escherichia coli,2019,6,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",133,1158,11.49
Escherichia coli,2019,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",105,1158,9.07
Escherichia coli,2019,6,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",84,1158,7.25
Escherichia coli,2019,6,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",72,1158,6.22
Escherichia coli,2019,7,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",167,1198,13.94
